x1,x2,v
33,60,0
29,59,0
4,83,0
3,91,0
3,93,0
1,94,0
1,82,0
41,81,0
42,56,0
42,55,0
44,55,0
68,64,1
98,76,1
94,56,1
99,46,1
82,32,1
58,48,1
65,84,2
84,80,2
95,91,2
80,95,2
68,96,2
63,98,2
60,89,2
50,86,2
60,44,3
70,32,3
74,30,3
98,16,3
91,8,3
76,9,3
74,3,3
66,7,3
68,14,3
66,16,3
50,30,3
50,31,3
30,41,4
24,11,4
18,13,4
15,16,4
5,13,4
8,17,4
9,21,4
15,25,4
8,32,4
19,33,4
18,35,4
46,40,4

48,51,0
44,67,0
29,67,0
26,64,0
22,84,0
26,84,0
28,85,0
30,90,0
31,94,0
37,87,0
62,98,0
59,83,0
55,74,0
53,61,0
88,32,1
88,29,1
99,21,1
79,21,1
79,17,1
67,12,1
61,11,1
63,26,1
53,40,1
21,56,2
21,74,2
17,79,2
2,70,2
8,53,2
17,46,2
14,32,2
31,34,2
55,52,3
73,53,3
99,55,3
97,82,3
85,86,3
83,86,3
74,84,3
68,79,3
68,67,3
69,63,3
49,2,4
49,1,4
36,1,4
20,3,4
25,11,4
40,22,4
34,33,4
41,36,4

60,93,0
63,98,0
71,97,0
85,96,0
82,95,0
78,92,0
76,81,0
73,84,0
65,88,0
62,68,0
51,62,0
42,28,1
46,17,1
59,11,1
65,9,1
67,6,1
62,21,1
81,23,1
72,28,1
73,32,1
36,51,2
18,55,2
8,44,2
2,70,2
18,87,2
23,71,2
32,61,2
33,57,2
90,39,3
98,65,3
94,75,3
94,77,3
90,77,3
84,77,3
70,69,3
67,68,3
65,58,3
59,55,3
36,35,4
37,4,4
27,1,4
19,4,4
15,8,4
20,14,4
23,21,4
19,28,4
13,34,4
21,40,4
23,50,4

47,49,0
20,49,0
16,42,0
5,48,0
9,59,0
5,61,0
4,64,0
17,63,0
22,64,0
26,75,0
33,67,0
36,61,0
77,36,1
95,34,1
99,39,1
96,53,1
96,69,1
87,81,1
62,81,1
63,71,1
56,68,1
33,45,2
22,32,2
26,26,2
26,15,2
2,9,2
25,3,2
26,7,2
34,10,2
36,20,2
39,36,2
39,40,2
62,61,3
80,58,3
77,26,3
79,26,3
83,27,3
84,2,3
54,8,3
44,70,4
35,76,4
20,81,4
14,90,4
25,98,4
42,90,4
62,90,4
67,87,4
54,82,4
53,70,4

41,32,0
33,19,0
33,17,0
17,13,0
10,15,0
3,8,0
27,10,0
30,8,0
34,2,0
37,15,0
46,28,0
47,31,0
48,42,1
39,21,1
28,19,1
9,22,1
1,28,1
1,44,1
1,56,1
1,69,1
19,62,1
26,63,1
37,62,1
